iter	Passed	Remaining
1432	45683	414
1433	45716	382
1434	45744	350
1435	45776	318
1436	45808	286
1437	45841	255
1438	45871	223
1439	45909	191
1440	45940	159
1441	45974	127
1442	46007	95
1443	46040	63
1444	46071	31
1445	46103	0
